,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"p[9, 3]",0.559,0.277,0.09,0.986,0.016,0.011,291.0,586.0,1.01
"p[9, 4]",0.087,0.131,0.0,0.357,0.007,0.005,188.0,235.0,1.04
"p[9, 5]",0.338,0.261,0.002,0.811,0.017,0.012,237.0,401.0,1.01
"p[9, 6]",0.001,0.014,0.0,0.0,0.001,0.0,15.0,22.0,1.2
"p[9, 7]",0.002,0.018,0.0,0.001,0.001,0.001,77.0,98.0,1.03
"p[9, 8]",0.0,0.003,0.0,0.0,0.0,0.0,46.0,232.0,1.07
"p[9, 9]",0.003,0.021,0.0,0.005,0.001,0.0,129.0,124.0,1.04
"p[10, 0]",0.009,0.029,0.0,0.039,0.002,0.001,17.0,33.0,1.17
"p[10, 1]",0.001,0.007,0.0,0.001,0.0,0.0,33.0,224.0,1.11
"p[10, 2]",0.001,0.009,0.0,0.001,0.0,0.0,20.0,54.0,1.15
"p[10, 3]",0.009,0.032,0.0,0.037,0.002,0.001,59.0,84.0,1.05
"p[10, 4]",0.969,0.058,0.872,1.0,0.005,0.004,34.0,389.0,1.1
"p[10, 5]",0.003,0.016,0.0,0.005,0.002,0.001,5.0,35.0,2.06
"p[10, 6]",0.007,0.026,0.0,0.029,0.002,0.001,19.0,31.0,1.16
"p[10, 7]",0.001,0.007,0.0,0.002,0.0,0.0,15.0,26.0,1.2
"p[10, 8]",0.0,0.0,0.0,0.0,0.0,0.0,50.0,142.0,1.08
"p[10, 9]",0.0,0.003,0.0,0.001,0.0,0.0,28.0,132.0,1.13
"p[11, 0]",0.002,0.024,0.0,0.001,0.001,0.001,9.0,48.0,1.38
"p[11, 1]",0.008,0.058,0.0,0.009,0.002,0.002,35.0,183.0,1.08
"p[11, 2]",0.415,0.32,0.0,0.941,0.032,0.023,95.0,372.0,1.04
"p[11, 3]",0.016,0.087,0.0,0.029,0.01,0.007,9.0,57.0,1.4
"p[11, 4]",0.503,0.322,0.025,1.0,0.027,0.025,154.0,394.0,1.05
"p[11, 5]",0.027,0.111,0.0,0.109,0.009,0.007,17.0,41.0,1.16
"p[11, 6]",0.011,0.067,0.0,0.016,0.004,0.003,35.0,28.0,1.09
"p[11, 7]",0.007,0.046,0.0,0.016,0.003,0.002,53.0,99.0,1.06
"p[11, 8]",0.004,0.024,0.0,0.013,0.001,0.001,30.0,200.0,1.13
"p[11, 9]",0.006,0.043,0.0,0.005,0.002,0.001,48.0,277.0,1.08
"p[12, 0]",0.027,0.094,0.0,0.124,0.005,0.004,38.0,301.0,1.08
"p[12, 1]",0.002,0.013,0.0,0.003,0.001,0.0,25.0,172.0,1.12
"p[12, 2]",0.0,0.004,0.0,0.0,0.0,0.0,14.0,22.0,1.22
"p[12, 3]",0.003,0.013,0.0,0.011,0.001,0.001,21.0,201.0,1.15
"p[12, 4]",0.001,0.011,0.0,0.003,0.0,0.0,148.0,253.0,1.03
"p[12, 5]",0.028,0.092,0.0,0.156,0.005,0.004,88.0,179.0,1.05
"p[12, 6]",0.003,0.038,0.0,0.001,0.002,0.001,31.0,56.0,1.12
"p[12, 7]",0.011,0.064,0.0,0.02,0.004,0.003,50.0,67.0,1.08
"p[12, 8]",0.922,0.156,0.602,1.0,0.008,0.006,171.0,310.0,1.03
"p[12, 9]",0.003,0.024,0.0,0.004,0.001,0.001,31.0,218.0,1.11
"p[13, 0]",0.203,0.209,0.0,0.617,0.013,0.009,203.0,416.0,1.02
"p[13, 1]",0.003,0.029,0.0,0.005,0.001,0.001,59.0,254.0,1.06
"p[13, 2]",0.014,0.056,0.0,0.053,0.004,0.003,18.0,33.0,1.16
"p[13, 3]",0.025,0.068,0.0,0.129,0.01,0.007,21.0,52.0,1.13
"p[13, 4]",0.649,0.266,0.18,0.998,0.017,0.013,212.0,447.0,1.02
"p[13, 5]",0.006,0.034,0.0,0.015,0.003,0.002,6.0,43.0,1.9
"p[13, 6]",0.011,0.047,0.0,0.041,0.003,0.002,30.0,77.0,1.1
"p[13, 7]",0.007,0.042,0.0,0.017,0.002,0.002,19.0,127.0,1.16
"p[13, 8]",0.077,0.163,0.0,0.425,0.01,0.007,152.0,243.0,1.04
"p[13, 9]",0.005,0.039,0.0,0.006,0.001,0.001,178.0,252.0,1.05
"p[14, 0]",0.002,0.012,0.0,0.004,0.002,0.001,12.0,63.0,1.26
"p[14, 1]",0.001,0.01,0.0,0.0,0.0,0.0,23.0,47.0,1.12
